media_en,media_jp,title_articles,date_original
fineplayv,FINEPLAY,アリサ・テルーが優勝収めた最終戦。パリオリンピック日本代表選手も確定！「オリンピック予選シリーズ ブダペスト大会」スケートボード・パーク種目 女子決勝速報,6/23(日) 18:34
fineplayv,FINEPLAY,ROAD TO PARIS 新種目ブレイキン OQS BUDAPEST にてオリンピック出場選手が決定予定 BREAKING JAPAN が最終戦へのぞむ！,6/23(日) 0:44
fineplayv,FINEPLAY,パリオリンピック前最終戦。中村輪夢が日本人最高位の8位「OQS第2戦ブダペスト大会 BMX フリースタイル種目」男子決勝速報,6/22(土) 22:26
fineplayv,FINEPLAY,9歳スケートボーダー・河上恵蒔 初の世界舞台で世界初の技を次々と成功！ 世界最高峰のアクションスポーツ祭典「X Games VENTURA 2024」出場権を獲得！,6/18(火) 17:47
fineplayv,FINEPLAY,日本代表をかけた最後の戦いがいよいよ開幕「オリンピック予選シリーズ ブダペスト大会」ブレイキン,6/18(火) 0:30
fineplayv,FINEPLAY,パリオリンピックへの切符は誰の手に？日本人選手の勝機は？「オリンピック予選シリーズ ブダペスト大会」BMXフリースタイルパークの見どころ,6/16(日) 17:20
fineplayv,FINEPLAY,最後の最後まで目が離せない出場権争い「オリンピック予選シリーズ ブダペスト大会」スケートボード・ストリート種目の見どころ,6/15(土) 18:10
fineplayv,FINEPLAY,最後の出場枠を懸けた争い。「オリンピック予選シリーズ ブダペスト大会」スポーツクライミング,6/15(土) 7:02
fineplayv,FINEPLAY,本当の意味で最後のオリンピック予選大会「オリンピック予選シリーズ ブダペスト大会」スケートボード・パーク種目の見どころ,6/14(金) 0:09
fineplayv,FINEPLAY,「自分の120%を発揮しないと勝ち残れない戦い」浜瀬海が挑むのは世界最高峰の舞台WLT。,6/6(木) 17:02
fineplayv,FINEPLAY,今年のイベント規模はなんと5倍!? 弘前公園で5年ぶりに開催する「SHIROFES.2024」の全コンテンツを紹介！,6/6(木) 13:54
fineplayv,FINEPLAY,世界トップクラスのパラサーファーが静波に集結。「第3回パラサーフィンジャパンオープン」,6/1(土) 17:45
fineplayv,FINEPLAY,Skateboarding Unveiled vol.12 ～ストリートとパーク～,5/29(水) 18:11
fineplayv,FINEPLAY,歴史的偉業！ 日本のダブルダッチチーム “HARIBOW” がゴールデンブザーを獲得！『ブリテンズ・ゴット・タレント』,5/27(月) 18:36
fineplayv,FINEPLAY,壮絶な代表権争いの火蓋が切られた「オリンピック予選シリーズ(OQS)」上海大会 男子スケートボードパーク種目,5/24(金) 20:20
fineplayv,FINEPLAY,日本人選手たちが好発進！「オリンピック予選シリーズ(OQS)」上海大会 女子スケートボードパーク種目,5/23(木) 19:26
fineplayv,FINEPLAY,波乱の展開の中で強さを見せたのは赤間凛音と吉沢恋「オリンピック予選シリーズ(OQS)」上海大会 女子スケートボードストリート種目,5/23(木) 18:44
